VA-501,"Norfolk, Chesapeake, Suffolk/Isle of Wight, Southampton Counties CoC",703,84,46,573,201,500,2,0,664,39,166,505,8,0
VA-502,"Roanoke City & County, Salem CoC",267,45,21,201,101,165,1,0,259,8,147,95,0,0,0,25
VA-503,Virginia Beach CoC,349,81,35,233,149,198,1,1,310,39,163,163,4,3,5,11,174
VA-504,Charlottesville CoC,160,29,8,123,52,107,1,0,153,7,82,63,0,5,1,9,115
VA-505,"Newport News, Hampton/Virginia Peninsula CoC",512,103,24,385,203,308,1,0,471,41,150,343,0,2,0,17
VA-507,Portsmouth CoC,151,22,2,127,43,108,0,0,138,13,26,120,0,0,5,0,67
VA-508,Lynchburg CoC,125,23,7,95,56,68,0,1,117,8,56,66,1,2,0,0,94
VA-513,"Harrisburg, Winchester/Western Virginia CoC",280,49,11,220,102,178,0,0,271,9,203,45,1,4,1,26
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",216,61,27,128,92,123,1,0,204,12,99,90,6,3,0,18
VA-521,Virginia Balance of State CoC,722,195,38,489,341,380,0,1,677,45,411,278,2,5,1,25,439
VA-600,Arlington County CoC,232,48,18,166,90,142,0,0,199,33,55,144,8,0,0,25,182
VA-601,Fairfax County CoC,964,289,88,587,421,542,0,1,797,167,354,511,49,4,4,42,637
VA-602,Loudoun County CoC,113,27,11,75,40,73,0,0,87,26,71,36,2,0,0,4,74
VA-603,Alexandria CoC,211,56,13,142,97,113,1,0,192,19,57,143,1,2,1,7,133
VA-604,Prince William County CoC,400,131,25,244,188,211,1,0,336,64,132,240,0,2,1,25,168
VI-500,Virgin Islands CoC,381,9,5,367,73,298,0,10,332,49,54,311,1,5,3,7,39
VT-500,Vermont Balance of State CoC,934,252,112,570,434,496,2,2,891,43,860,41,3,2,1,27,626
VT-501,Burlington/Chittenden County CoC,291,54,30,207,127,161,3,0,274,17,233,38,4,4,1,11,217
WA-500,Seattle/King County CoC,"11,643","1,914","1,488","8,241","4,203","7,211",139,90,"10,045","1
WA-501,Washington Balance of State CoC,"5,243","1,287",478,"3,478","2,311","2,915",8,9,"4,396",847,"4
WA-502,Spokane City & County CoC,"1,090",203,73,814,424,662,3,1,"1,017",73,870,62,6,71,18
WA-503,"Tacoma, Lakewood/Pierce County CoC","1,321",269,106,946,529,787,1,4,"1,168",153,739,239,28,46
WA-504,Everett/Snohomish County CoC,"1,066",202,108,756,432,628,3,3,932,134,800,108,10,46,23,79
WA-508,Vancouver/Clark County CoC,749,234,43,472,321,428,0,0,702,47,600,64,0,13,50,22,251
WI-500,Wisconsin Balance of State CoC,"3,348","1,183",271,"1,894","1,624","1,714",8,2,"3,096",252,"2
WI-501,Milwaukee City & County CoC,900,157,91,652,310,589,1,0,828,72,279,571,3,9,2,36,557
WI-502,Racine City & County CoC,194,41,14,139,70,124,0,0,180,14,104,70,0,3,1,16,137
WI-503,Madison/Dane County CoC,585,165,55,365,263,319,3,0,531,54,239,291,10,9,0,36,345
WV-500,"Wheeling, Weirton Area CoC",118,26,6,86,67,51,0,0,118,0,94,18,0,1,0,5
WV-501,"Huntington/Cabell, Wayne Counties CoC",205,34,11,160,85,120,0,0,205,0,175,28,0,1,0,1
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",319,32,22,265,65,254,0,0,319,0,225,89,0,0
WV-508,West Virginia Balance of State CoC,667,74,48,545,245,421,1,0,646,21,568,79,2,3,3,12,496
WY-500,Wyoming Statewide CoC,873,129,59,685,300,570,3,0,767,106,651,43,2,145,8,24,321
,Total,"550,996","114,529","50,992","385,475","214,975","333,049","2,088",884,"432,634"
,,,,,,,,,,,,,,,,,,
"a MO-604 covers territory in both Missouri and Kansas. The record described in this file represents the CoC's total territory, the sum of the point-in-time estimates the CoC separately reported for the portions of its territory in MO and in KS. However, in the companion file, Point-in-Time Estimates by State, MO-604's data have been split up between MO and KS.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CoC Number,CoC Name,"Overall Homeless, 2016","Overall Homeless - Under 18, 2016","Overall Homeless - Age 18 to 24, 2016","Overall Homeless - Over 24, 2016","Overall Homeless - Female, 2016","Overall Homeless - Male, 2016","Overall Homeless - Transgender, 2016","Overall Homeless - Non-Hispanic/Non-Latino, 2016","Overall Homeless - Hispanic/Latino
AK-500,Anchorage CoC,"1,105",124,100,881,433,670,2,"1,024",81,345,109,13,494,32,112
AK-501,Alaska Balance of State CoC,835,150,73,612,375,457,3,773,62,394,38,31,292,21,59,434,100
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","1,228",192,119,917,465,757,6,"1,211",17,431,728,1,25
AL-501,Mobile City & County/Baldwin County CoC,623,93,30,500,215,406,2,605,18,276,318,0,8,3,18,284,49
AL-502,Florence/Northwest Alabama CoC,337,76,17,244,220,117,0,330,7,243,88,0,0,0,6,85,29
AL-503,Huntsville/North Alabama CoC,385,72,32,281,141,244,0,375,10,194,180,0,2,0,9,282,69
AL-504,Montgomery City & County CoC,367,57,18,292,181,186,0,361,6,69,297,1,0,0,0,173,28
AL-505,Gadsden/Northeast Alabama CoC,167,33,7,127,79,88,0,160,7,80,80,0,4,0,3,55,9
AL-506,Tuscaloosa City & County CoC,177,36,19,122,82,95,0,174,3,46,127,0,1,0,3,14,5
AL-507,Alabama Balance of State CoC,827,122,62,643,350,473,4,811,16,375,433,2,9,1,7,177,53
AR-500,Little Rock/Central Arkansas CoC,808,44,40,724,229,578,1,786,22,336,441,0,6,1,24,288,17
AR-501,Fayetteville/Northwest Arkansas CoC,550,167,14,369,264,286,0,499,51,398,105,4,7,2,34,251,68
AR-503,Arkansas  Balance of State  CoC,761,125,112,524,394,367,0,752,9,455,290,1,3,5,7,304,54
AR-504,Delta Hills CoC,89,31,18,40,50,39,0,87,2,87,0,0,0,0,2,79,31
AR-505,Southeast Arkansas CoC,89,43,7,39,48,41,0,89,0,37,46,0,2,0,4,78,40
AR-508,Fort Smith CoC,166,22,6,138,62,104,0,164,2,138,12,5,3,0,8,92,13
AZ-500,Arizona Balance of State CoC,"2,240",314,128,"1,798",825,"1,409",6,"1,835",405,"1,679",89,7
AZ-501,Tucson/Pima County CoC,"1,765",296,167,"1,302",577,"1,184",4,"1,226",539,"1,269",213,12
AZ-502,"Phoenix, Mesa/Maricopa County CoC","5,702","1,412",438,"3,852","2,283","3,412",7,"4,281","1,421"
CA-500,San Jose/Santa Clara City & County CoC,"6,524",584,903,"5,037","1,827","4,657",40,"3,905","2,619","2,871"
CA-501,San Francisco CoC,"6,996",496,"1,434","5,066","1,533","5,305",158,"5,513","1,483","2
CA-502,"Oakland, Berkeley/Alameda County CoC","4,145",568,399,"3,178","1,571","2,547",27,"3,327",818,"1,332"
CA-503,Sacramento City & County CoC,"2,500",358,298,"1,844",851,"1,646",3,"2,119",381,"1,365",891,22
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC","2,906",305,582,"2,019",919,"1,945",42,"2,228",678,"1,799",240
CA-505,Richmond/Contra Costa County CoC,"1,730",214,120,"1,396",634,"1,095",1,"1,449",281,766,576,28,113
CA-506,"Salinas/Monterey, San Benito Counties CoC","3,022",343,305,"2,374",965,"2,053",4,"1,934","1,088","1,665"
CA-507,Marin County CoC,"1,258",114,362,782,349,907,2,"1,050",208,837,239,15,43,6,118
CA-508,Watsonville/Santa Cruz City & County CoC,"1,959",312,305,"1,342",663,"1,290",6,"1,228",731,"1,248",114,47
CA-509,Mendocino County CoC,"1,242",51,251,940,388,854,0,993,249,"1,023",26,2,143,6,42
CA-510,"Turlock, Modesto/Stanislaus County CoC","1,434",172,127,"1,135",516,918,0,"1,012",422,876,255,29,94
CA-511,Stockton/San Joaquin County CoC,"1,780",531,81,"1,168",751,"1,029",0,"1,174",606,"1,110",482,17
CA-512,Daly/San Mateo County CoC,"1,361",258,81,"1,022",529,832,0,952,409,706,285,75,162,102,31
CA-513,"Visalia/Kings, Tulare Counties CoC",792,95,60,637,315,475,2,442,350,672,47,2,44,5,22,155
CA-514,Fresno City & County/Madera County CoC,"1,883",131,136,"1,616",632,"1,248",3,"1,076",807,"1,340",272,30
CA-515,"Roseville, Rocklin/Placer County CoC","1,021",92,74,855,384,636,1,940,81,864,20,4,66,3,64
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","1,272",126,171,975,476,796,0,"1,133",139
CA-517,Napa City & County CoC,317,60,28,229,126,187,4,209,108,243,9,4,36,5,20,143,20
CA-518,Vallejo/Solano County CoC,"1,118",92,114,912,380,735,3,888,230,445,375,29,48,10,211,170
CA-519,"Chico, Paradise/Butte County CoC",574,87,67,420,199,374,1,508,66,486,16,1,41,8,22,182
CA-520,Merced City & County CoC,516,9,40,467,167,348,1,360,156,377,64,6,13,4,52,80,3
CA-521,"Davis, Woodland/Yolo County CoC",532,128,54,350,222,309,1,402,130,389,76,8,11,4,44,189
CA-522,Humboldt County CoC,"1,134",99,91,944,400,734,0,"1,068",66,886,35,5,169,8,31
CA-523,"Colusa, Glenn, Trinity Counties CoC",115,23,9,83,46,69,0,83,32,103,1,3,3,1,4
CA-524,Yuba City & County/Sutter County CoC,702,197,59,446,357,345,0,570,132,558,96,14,17,0,17,106,28
CA-525,El Dorado County CoC,269,56,13,200,113,156,0,203,66,242,1,6,0,5,15,72,9
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",632,71,70,491,247,385,0,579,53,541,12,1,31,6
