IL-508,"East St. Louis, Belleville/St. Clair County CoC",536,146,96,242,294,261,36,10,46,215,275,110,86,196,79,92,32,26,58,34,60,30,30,30
IL-510,Chicago CoC,"6,240","1,691","3,665","5,356",884,"3,342","1,447","1,101","2,548",794,"2,898",244,"2,564","2,808",90,883,75,786,861,22,689,416,416,273
IL-511,Cook County CoC,"1,378",451,676,"1,127",251,747,344,167,511,236,631,107,509,616,15,204,34,166,200,4,275,159,159,116
IL-512,Bloomington/Central Illinois CoC,515,313,169,482,33,214,173,17,190,24,301,140,152,292,9,88,40,45,85,3,58,51,51,7
IL-513,Springfield/Sangamon County CoC,257,123,125,248,9,152,106,44,150,2,105,17,81,98,7,36,6,29,35,1,96,96,96,0
IL-514,DuPage County CoC,695,184,403,587,108,350,149,102,251,99,345,35,301,336,9,121,13,105,118,3,182,83,83,99
IL-515,South Central Illinois CoC,329,135,99,234,95,52,20,12,32,20,277,115,87,202,75,87,37,28,65,22,19,8,8,11
IL-516,Decatur/Macon County CoC,176,83,67,150,26,110,61,23,84,26,66,22,44,66,0,19,7,12,19,0,33,33,33,0
IL-517,"Aurora, Elgin/Kane County CoC",445,269,123,392,53,333,223,57,280,53,112,46,66,112,0,32,12,20,32,0,188,155,155,33
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",400,204,144,348,52,230,143,42,185,45,170,61,102,163,7,56,20,34,54,2,55,40,40,15
IL-519,West Central Illinois CoC,127,24,103,127,0,35,11,24,35,0,92,13,79,92,0,36,5,31,36,0,2,2,2,0
IL-520,Southern Illinois CoC,290,100,60,160,130,177,59,28,87,90,113,41,32,73,40,33,9,12,21,12,8,8,8,0
IN-502,Indiana Balance of State CoC,"5,530","2,537","1,402","3,939","1,591","3,302","1,383",636,"2,019","1,283","2,228","1,154",766,"1,920",308,762,378,283,661,101,549,367,367,182
IN-503,Indianapolis CoC,"1,454",712,555,"1,267",187,849,311,357,668,181,605,401,198,599,6,213,140,71,211,2,216,138,138,78
KS-502,Wichita/Sedgwick County CoC,384,309,43,352,32,310,263,15,278,32,74,46,28,74,0,25,14,11,25,0,71,60,60,11
KS-503,Topeka/Shawnee County CoC,217,171,27,198,19,139,110,10,120,19,78,61,17,78,0,24,20,4,24,0,39,34,34,5
KS-505,"Overland Park, Shawnee/Johnson County CoC",210,130,36,166,44,58,42,3,45,13,152,88,33,121,31,48,27,11,38,10,8,5,5,3
KS-507,Kansas Balance of State CoC,859,461,339,800,59,593,291,256,547,46,266,170,83,253,13,85,53,28,81,4,77,68,68,9
KY-500,Kentucky Balance of State CoC,"3,174","1,311","1,377","2,688",486,"1,279",678,264,942,337,"1,895",633,"1,113","1,746",149,563,177,340,517,46,236,138,138,98
KY-501,Louisville-Jefferson County CoC,"1,515",849,512,"1,361",154,"1,147",740,259,999,148,368,109,253,362,6,134,37,95,132,2,247,174,174,73
KY-502,Lexington-Fayette County CoC,"1,310",485,765,"1,250",60,876,398,426,824,52,434,87,339,426,8,161,27,131,158,3,188,179,179,9
LA-500,Lafayette/Acadiana CoC,731,240,298,538,193,383,126,141,267,116,348,114,157,271,77,114,39,53,92,22,36,21,21,15
LA-502,"Shreveport, Bossier/Northwest Louisiana CoC",830,265,474,739,91,461,141,248,389,72,369,124,226,350,19,116,36,75,111,5,56,17,17,39
LA-503,New Orleans/Jefferson Parish CoC,"8,725",643,697,"1,340","7,385","7,957",526,337,863,"7,094",768,117,360,477,291,252,39,121,160,92,"4,579",146,146,"4,433"
LA-505,Monroe/Northeast Louisiana CoC,228,75,112,187,41,93,51,18,69,24,135,24,94,118,17,38,7,26,33,5,19,9,9,10
LA-506,Slidell/Southeast Louisiana CoC,379,50,167,217,162,164,28,51,79,85,215,22,116,138,77,71,8,35,43,28,24,2,2,22
LA-507,Alexandria/Central Louisiana CoC,151,36,68,104,47,103,6,68,74,29,48,30,0,30,18,15,9,0,9,6,8,0,0,8
LA-509,Louisiana Balance of State CoC,"1,460",309,684,993,467,937,132,514,646,291,523,177,170,347,176,158,52,55,107,51,93,31,31,62
MA-500,Boston CoC,"5,101","3,318","1,564","4,882",219,"2,663","1,324","1,120","2,444",219,"2,438","1,994",444,"2,438",0,845,675,170,845,0,817,662,662,155
MA-501,"Holyoke/Franklin, Hampden, Hampshire Counties CoC","1,394",971,365,"1,336",58,482,118,306,424,58,912,853,59,912,0,265,240,25,265,0,83,44,44,39
