"a MO-604 covers territory in both Missouri and Kansas. The record described in this file represents the CoC's total territory, the sum of the point-in-time estimates the CoC separately reported for the portions of its territory in MO and in KS. However, in the companion file, Point-in-Time Estimates by State, MO-604's data have been split up between MO and KS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoC Number,CoC Name,"Overall Homeless, 2014","Overall Homeless - Under 18, 2014","Overall Homeless - Age 18 to 24, 2014","Overall Homeless - Over 24, 2014","Sheltered ES Homeless, 2014","Sheltered ES Homeless - Under 18, 2014","Sheltered ES Homeless - Age 18 to 24, 2014","Sheltered ES Homeless - Over 24, 2014","Sheltered TH Homeless, 2014","Sheltered TH Homeless - Under 18, 2014","Sheltered TH Homeless - Age 18 to 24, 2014","Sheltered TH Homeless - Over 24, 2014","Sheltered SH Homeless, 2014","Sheltered SH Homeless - Age 18 to 24, 2014","Sheltered SH Homeless - Over 24, 2014","Sheltered Total Homeless, 2014","Sheltered Total Homeless - Under 18, 2014","Sheltered Total Homeless - Age 18 to 24, 2014","Sheltered Total Homeless - Over 24, 2014","Unsheltered Homeless, 2014","Unsheltered Homeless - Under 18, 2014","Unsheltered Homeless - Age 18 to 24, 2014","Unsheltered Homeless - Over 24, 2014","Overall Homeless Individuals, 2014","Overall Homeless Individuals - Under 18, 2014","Overall Homeless Individuals - Age 18 to 24, 2014","Overall Homeless Individuals - Over 24, 2014","Sheltered ES Homeless Individuals, 2014","Sheltered ES Homeless Individuals - Under 18, 2014","Sheltered ES Homeless Individuals - Age 18 to 24, 2014","Sheltered ES Homeless Individuals - Over 24, 2014","Sheltered TH Homeless Individuals, 2014","Sheltered TH Homeless Individuals - Under 18, 2014","Sheltered TH Homeless Individuals - Age 18 to 24, 2014","Sheltered TH Homeless Individuals - Over 24, 2014","Sheltered SH Homeless Individuals, 2014","Sheltered SH Homeless Individuals - Age 18 to 24, 2014","Sheltered SH Homeless Individuals - Over 24, 2014","Sheltered Total Homeless Individuals, 2014","Sheltered Total Homeless Individuals - Under 18, 2014","Sheltered Total Homeless Individuals - Age 18 to 24, 2014","Sheltered Total Homeless Individuals - Over 24, 2014","Unsheltered Homeless Individuals, 2014","Unsheltered Homeless Individuals - Under 18, 2014","Unsheltered Homeless Individuals - Age 18 to 24, 2014","Unsheltered Homeless Individuals - Over 24, 2014","Overall Homeless People in Families, 2014","Overall Homeless People in Families - Under 18, 2014","Overall Homeless People in Families - Age 18 to 24, 2014","Overall Homeless People in Families - Over 24, 2014","Sheltered ES Homeless People in Families, 2014","Sheltered ES Homeless People in Families - Under 18, 2014","Sheltered ES Homeless People in Families - Age 18 to 24, 2014","Sheltered ES Homeless People in Families - Over 24, 2014","Sheltered TH Homeless People in Families, 2014","Sheltered TH Homeless People in Families - Under 18, 2014","Sheltered TH Homeless People in Families - Age 18 to 24, 2014","Sheltered TH Homeless People in Families - Over 24, 2014","Sheltered Total Homeless People in Families, 2014","Sheltered Total Homeless People in Families - Under 18, 2014","Sheltered Total Homeless People in Families - Age 18 to 24, 2014","Sheltered Total Homeless People in Families - Over 24, 2014","Unsheltered Homeless People in Families, 2014","Unsheltered Homeless People in Families - Under 18, 2014","Unsheltered Homeless People in Families - Age 18 to 24, 2014","Unsheltered Homeless People in Families - Over 24, 2014","Overall Homeless Family Households, 2014","Sheltered ES Homeless Family Households, 2014","Sheltered TH Homeless Family Households, 2014","Sheltered Total Homeless Family Households, 2014","Unsheltered Homeless Family Households, 2014","Overall Chronically Homeless, 2014","Sheltered ES Chronically Homeless, 2014","Sheltered SH Chronically Homeless, 2014","Sheltered Total Chronically Homeless, 2014","Unsheltered Chronically Homeless, 2014","Overall Chronically Homeless Individuals, 2014","Sheltered ES Chronically Homeless Individuals, 2014","Sheltered SH Chronically Homeless Individuals, 2014","Sheltered Total Chronically Homeless Individuals, 2014","Unsheltered Chronically Homeless Individuals, 2014","Overall Chronically Homeless People in Families, 2014","Sheltered ES Chronically Homeless People in Families, 2014","Sheltered Total Chronically Homeless People in Families, 2014","Unsheltered Chronically Homeless People in Families, 2014","Overall Homeless Veterans, 2014","Overall Homeless Veterans - Female, 2014","Sheltered Total Homeless Veterans, 2014","Sheltered Total Homeless Veterans - Female, 2014","Unsheltered Homeless Veterans, 2014","Unsheltered Homeless Veterans - Female, 2014"
CA-519,"Chico, Paradise/Butte County CoC",696,73,71,552,171,21,17,133,102,42,9,51,0,0,0,273,63,26,184,423,10,45,368,586,4,65,517,139,0,15,124,34,0,5,29,0,0,0,173,0,20,153,413,4,45,364,110,69,6,35,32,21,2,9,68,42,4,22,100,63,6,31,10,6,0,4,35,10,21,31,4,313,49,0,49,264,307,43,0,43,264,6,6,6,0,95,2,40,0,55,2
CA-520,Merced City & County CoC,768,21,54,693,91,15,5,71,68,3,4,61,0,0,0,159,18,9,132,609,3,45,561,735,0,54,681,68,0,5,63,62,0,4,58,0,0,0,130,0,9,121,605,0,45,560,33,21,0,12,23,15,0,8,6,3,0,3,29,18,0,11,4,3,0,1,12,8,3,11,1,364,13,0,13,351,364,13,0,13,351,0,0,0,0,84,6,11,0,73,6
CA-521,"Davis, Woodland/Yolo County CoC",442,85,32,325,111,28,6,77,133,57,13,63,0,0,0,244,85,19,140,198,0,13,185,317,0,27,290,70,0,5,65,49,0,9,40,0,0,0,119,0,14,105,198,0,13,185,125,85,5,35,41,28,1,12,84,57,4,23,125,85,5,35,0,0,0,0,38,13,25,38,0,131,34,0,34,97,126,29,0,29,97,5,5,5,0,31,4,11,3,20,1
CA-522,Humboldt County CoC,932,152,190,590,94,34,12,48,154,66,13,75,0,0,0,248,100,25,123,684,52,165,467,593,28,147,418,38,4,4,30,52,6,6,40,0,0,0,90,10,10,70,503,18,137,348,339,124,43,172,56,30,8,18,102,60,7,35,158,90,15,53,181,34,28,119,78,17,23,40,38,260,10,0,10,250,132,5,0,5,127,128,5,5,123,123,8,43,2,80,6
CA-523,"Colusa, Glenn, Trinity Counties CoC",567,89,55,423,59,13,5,41,84,32,7,45,0,0,0,143,45,12,86,424,44,43,337,410,1,40,369,36,0,1,35,38,0,5,33,0,0,0,74,0,6,68,336,1,34,301,157,88,15,54,23,13,4,6,46,32,2,12,69,45,6,18,88,43,9,36,49,9,14,23,26,265,47,0,47,218,223,24,0,24,199,42,23,23,19,49,2,7,0,42,2
CA-524,Yuba City & County/Sutter County CoC,726,371,41,314,347,214,41,92,0,0,0,0,0,0,0,347,214,41,92,379,157,0,222,348,184,17,147,138,85,17,36,0,0,0,0,0,0,0,138,85,17,36,210,99,0,111,378,187,24,167,209,129,24,56,0,0,0,0,209,129,24,56,169,58,0,111,107,35,0,35,72,53,0,0,0,53,36,0,0,0,36,17,0,0,17,75,15,67,15,8,0
CA-525,El Dorado County CoC,195,17,18,160,66,11,5,50,80,4,9,67,0,0,0,146,15,14,117,49,2,4,43,181,10,18,153,64,10,5,49,72,0,9,63,0,0,0,136,10,14,112,45,0,4,41,14,7,0,7,2,1,0,1,8,4,0,4,10,5,0,5,4,2,0,2,7,1,4,5,2,73,35,0,35,38,71,35,0,35,36,2,0,0,2,3,0,2,0,1,0
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",382,72,34,276,61,24,4,33,81,39,7,35,0,0,0,142,63,11,68,240,9,23,208,269,1,25,243,23,0,1,22,21,0,2,19,0,0,0,44,0,3,41,225,1,22,202,113,71,9,33,38,24,3,11,60,39,5,16,98,63,8,27,15,8,1,6,34,12,18,30,4,114,4,0,4,110,112,2,0,2,110,2,2,2,0,46,2,18,0,28,2
CA-600,Los Angeles City & County CoC,"34,393","4,308","4,017","26,068","6,214","1,210",430,"4,574","5,568","1,360",811,"3,397",21,0,21,"11,803","2,570","1,241","7,992","22,590","1,738","2,776","18,076","28,164",764,"3,577","23,823","4,317",28,298,"3,991","3,307",20,579,"2,708",21,0,21,"7,645",48,877,"6,720","20,519",716,"2,700","17,103","6,229","3,544",440,"2,245","1,897","1,182",132,583,"2,261","1,340",232,689,"4,158","2,522",364,"1,272","2,071","1,022",76,973,"1,580",425,471,896,684,"8,882","1,350",21,"1,371","7,511","7,947","1,274",21,"1,295","6,652",935,76,76,859,"3,739",216,"1,182",75,"2,557",141
CA-601,San Diego City and County CoC,"8,506","1,215",579,"6,712","1,179",223,60,896,"3,291",847,299,"2,145",51,0,51,"4,521","1,070",359,"3,092","3,985",145,220,"3,620","6,499",27,425,"6,047",836,7,39,790,"1,936",20,170,"1,746",51,0,51,"2,823",27,209,"2,587","3,676",0,216,"3,460","2,007","1,188",154,665,343,216,21,106,"1,355",827,129,399,"1,698","1,043",150,505,309,145,4,160,639,103,444,547,92,"1,245",211,27,238,"1,007","1,156",190,27,217,939,89,21,21,68,"1,307",234,790,66,517,168
CA-602,"Santa Ana, Anaheim/Orange County CoC","3,833",787,340,"2,706",851,199,50,602,"1,304",586,112,606,0,0,0,"2,155",785,162,"1,208","1,678",2,178,"1,498","2,561",12,255,"2,294",547,11,33,503,339,0,44,295,0,0,0,886,11,77,798,"1,675",1,178,"1,496","1,272",775,85,412,304,188,17,99,965,586,68,311,"1,269",774,85,410,3,1,0,2,410,94,315,409,1,814,141,0,141,673,798,130,0,130,668,16,11,11,5,398,15,129,4,269,11
CA-603,Santa Maria/Santa Barbara County CoC,"1,832",245,113,"1,474",576,88,51,437,278,93,14,171,0,0,0,854,181,65,608,978,64,48,866,"1,443",5,96,"1,342",444,5,44,395,131,0,11,120,0,0,0,575,5,55,515,868,0,41,827,389,240,17,132,132,83,7,42,147,93,3,51,279,176,10,93,110,64,7,39,120,40,46,86,34,618,84,0,84,534,520,84,0,84,436,98,0,0,98,134,12,58,10,76,2
CA-604,Bakersfield/Kern County CoC,992,178,87,727,382,120,26,236,195,37,19,139,0,0,0,577,157,45,375,415,21,42,352,725,0,77,648,210,0,19,191,140,0,18,122,0,0,0,350,0,37,313,375,0,40,335,267,178,10,79,172,120,7,45,55,37,1,17,227,157,8,62,40,21,2,17,81,52,15,67,14,178,31,0,31,147,168,29,0,29,139,10,2,2,8,87,5,66,3,21,2
CA-606,Long Beach CoC,"2,738",298,131,"2,309",396,46,22,328,445,91,32,322,18,0,18,859,137,54,668,"1,879",161,77,"1,641","2,260",2,95,"2,163",326,0,18,308,294,0,21,273,18,0,18,638,0,39,599,"1,622",2,56,"1,564",478,296,36,146,70,46,4,20,151,91,11,49,221,137,15,69,257,159,21,77,154,21,52,73,81,"1,070",93,18,111,959,984,89,18,107,877,86,4,4,82,439,49,275,36,164,13
CA-607,Pasadena CoC,666,84,32,550,138,41,9,88,127,35,6,86,0,0,0,265,76,15,174,401,8,17,376,512,0,26,486,65,0,5,60,60,0,4,56,0,0,0,125,0,9,116,387,0,17,370,154,84,6,64,73,41,4,28,67,35,2,30,140,76,6,58,14,8,0,6,50,24,22,46,4,221,72,0,72,149,192,43,0,43,149,29,29,29,0,41,2,3,0,38,2
CA-608,Riverside City & County CoC,"2,945",345,211,"2,389",575,106,60,409,482,163,40,279,0,0,0,"1,057",269,100,688,"1,888",76,111,"1,701","2,390",23,181,"2,186",425,18,46,361,221,1,26,194,0,0,0,646,19,72,555,"1,744",4,109,"1,631",555,322,30,203,150,88,14,48,261,162,14,85,411,250,28,133,144,72,2,70,174,47,82,129,45,"1,093",23,0,23,"1,070","1,010",15,0,15,995,83,8,8,75,296,21,115,4,181,17
CA-609,San Bernardino City & County CoC,"2,315",409,288,"1,618",454,178,62,214,614,149,148,317,0,0,0,"1,068",327,210,531,"1,247",82,78,"1,087","1,531",24,164,"1,343",158,7,19,132,256,0,71,185,0,0,0,414,7,90,317,"1,117",17,74,"1,026",784,385,124,275,296,171,43,82,358,149,77,132,654,320,120,214,130,65,4,61,191,73,82,155,36,551,69,0,69,482,490,57,0,57,433,61,12,12,49,167,20,35,11,132,9
CA-611,"Oxnard, San Buenaventura/Ventura County CoC","1,428",234,86,"1,108",240,12,4,224,268,103,8,157,10,1,9,518,115,13,390,910,119,73,718,"1,086",33,78,975,207,4,3,200,139,26,6,107,10,1,9,356,30,10,316,730,3,68,659,342,201,8,133,33,8,1,24,129,77,2,50,162,85,3,74,180,116,5,59,107,6,40,46,61,440,16,3,19,421,407,16,3,19,388,33,0,0,33,102,10,14,2,88,8
CA-612,Glendale CoC,292,54,8,230,107,4,5,98,78,48,3,27,0,0,0,185,52,8,125,107,2,0,105,204,0,5,199,101,0,5,96,0,0,0,0,0,0,0,101,0,5,96,103,0,0,103,88,54,3,31,6,4,0,2,78,48,3,27,84,52,3,29,4,2,0,2,31,2,28,30,1,79,33,0,33,46,79,33,0,33,46,0,0,0,0,19,1,7,1,12,0
CA-613,Imperial County CoC,298,77,8,213,104,30,3,71,60,39,4,17,0,0,0,164,69,7,88,134,8,1,125,181,0,2,179,58,0,1,57,0,0,0,0,0,0,0,58,0,1,57,123,0,1,122,117,77,6,34,46,30,2,14,60,39,4,17,106,69,6,31,11,8,0,3,36,12,21,33,3,127,40,0,40,87,111,24,0,24,87,16,16,16,0,7,0,0,0,7,0
CA-614,San Luis Obispo County CoC,"2,366",268,219,"1,879",172,41,6,125,72,23,4,45,0,0,0,244,64,10,170,"2,122",204,209,"1,709","1,912",31,162,"1,719",99,0,2,97,36,0,0,36,0,0,0,135,0,2,133,"1,777",31,160,"1,586",454,237,57,160,73,41,4,28,36,23,4,9,109,64,8,37,345,173,49,123,207,27,11,38,169,748,78,0,78,670,655,63,0,63,592,93,15,15,78,253,14,17,2,236,12
CO-500,Colorado Balance of State CoC,"2,188",562,206,"1,420",674,163,46,465,509,239,50,220,0,0,0,"1,183",402,96,685,"1,005",160,110,735,"1,256",8,124,"1,124",406,1,23,382,133,0,15,118,0,0,0,539,1,38,500,717,7,86,624,932,554,82,296,268,162,23,83,376,239,35,102,644,401,58,185,288,153,24,111,274,83,108,191,83,493,79,0,79,414,390,73,0,73,317,103,6,6,97,179,11,86,5,93,6
CO-503,Metropolitan Denver CoC,"6,621","2,019",682,"3,920","2,885",481,249,"2,155","3,042","1,492",343,"1,207",23,0,23,"5,950","1,973",592,"3,385",671,46,90,535,"3,495",159,387,"2,949","2,084",10,185,"1,889",828,149,129,550,23,0,23,"2,935",159,314,"2,462",560,0,73,487,"3,126","1,860",295,971,801,471,64,266,"2,214","1,343",214,657,"3,015","1,814",278,923,111,46,17,48,932,243,644,887,45,801,507,0,507,294,630,413,0,413,217,171,94,94,77,429,36,343,28,86,8
CO-504,Colorado Springs/El Paso County CoC,"1,219",254,116,849,443,53,49,341,507,197,51,259,0,0,0,950,250,100,600,269,4,16,249,822,1,89,732,359,1,49,309,202,0,25,177,0,0,0,561,1,74,486,261,0,15,246,397,253,27,117,84,52,0,32,305,197,26,82,389,249,26,114,8,4,1,3,111,26,83,109,2,327,161,0,161,166,315,149,0,149,166,12,12,12,0,145,16,99,11,46,5
CT-503,"Bridgeport, Stamford, Norwalk, Danbury/Fairfield County CoC","1,083",220,62,801,519,107,36,376,253,91,13,149,0,0,0,772,198,49,525,311,22,13,276,721,4,30,687,347,4,15,328,100,0,2,98,0,0,0,447,4,17,426,274,0,13,261,362,216,32,114,172,103,21,48,153,91,11,51,325,194,32,99,37,22,0,15,129,59,55,114,15,367,252,0,252,115,246,159,0,159,87,121,93,93,28,70,7,53,7,17,0
CT-505,Connecticut Balance of State CoC,"3,367",616,246,"2,505","1,962",355,147,"1,460",797,227,54,516,0,0,0,"2,759",582,201,"1,976",608,34,45,529,"2,348",1,159,"2,188","1,383",0,99,"1,284",413,1,20,392,0,0,0,"1,796",1,119,"1,676",552,0,40,512,"1,019",615,87,317,579,355,48,176,384,226,34,124,963,581,82,300,56,34,5,17,366,204,140,344,22,848,595,0,595,253,780,537,0,537,243,68,58,58,10,225,7,168,6,57,1
DC-500,District of Columbia CoC,"7,748","2,241",837,"4,670","5,754","1,725",615,"3,414","1,598",516,204,878,0,0,0,"7,352","2,241",819,"4,292",396,0,18,378,"3,953",5,210,"3,738","2,828",3,117,"2,708",729,2,75,652,0,0,0,"3,557",5,192,"3,360",396,0,18,378,"3,795","2,236",627,932,"2,926","1,722",498,706,869,514,129,226,"3,795","2,236",627,932,0,0,0,0,"1,231",907,324,"1,231",0,"2,029","1,694",0,"1,694",335,"1,609","1,274",0,"1,274",335,420,420,420,0,406,47,375,45,31,2
DE-500,Delaware Statewide CoC,901,220,51,630,435,83,19,333,429,133,30,266,0,0,0,864,216,49,599,37,4,2,31,584,15,37,532,318,8,13,297,236,7,22,207,0,0,0,554,15,35,504,30,0,2,28,317,205,14,98,117,75,6,36,193,126,8,59,310,201,14,95,7,4,0,3,104,40,62,102,2,91,82,0,82,9,88,79,0,79,9,3,3,3,0,93,5,89,5,4,0
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC","1,377",168,103,"1,106",463,67,37,359,317,88,29,200,0,0,0,780,155,66,559,597,13,37,547,"1,131",24,89,"1,018",392,24,36,332,168,0,18,150,0,0,0,560,24,54,482,571,0,35,536,246,144,14,88,71,43,1,27,149,88,11,50,220,131,12,77,26,13,2,11,65,23,33,56,9,270,76,0,76,194,250,60,0,60,190,20,16,16,4,170,5,95,2,75,3
FL-501,Tampa/Hillsborough County CoC,"1,944",177,266,"1,501",314,43,38,233,532,28,57,447,7,0,7,853,71,95,687,"1,091",106,171,814,"1,443",0,196,"1,247",233,0,19,214,311,0,16,295,7,0,7,551,0,35,516,892,0,161,731,501,177,70,254,81,43,19,19,221,28,41,152,302,71,60,171,199,106,10,83,188,17,78,95,93,409,30,0,30,379,326,30,0,30,296,83,0,0,83,236,29,110,19,126,10
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC","3,391",735,154,"2,502","1,353",535,54,764,819,175,33,611,41,0,41,"2,213",710,87,"1,416","1,178",25,67,"1,086","2,865",405,134,"2,326",981,313,38,630,669,69,29,571,41,0,41,"1,691",382,67,"1,242","1,174",23,67,"1,084",526,330,20,176,372,222,16,134,150,106,4,40,522,328,20,174,4,2,0,2,180,135,43,178,2,489,245,27,272,217,474,232,27,259,215,15,13,13,2,550,27,475,26,75,1
FL-503,"Lakeland, Winterhaven/Polk County CoC",536,59,24,453,138,19,4,115,110,27,7,76,0,0,0,248,46,11,191,288,13,13,262,451,6,19,426,108,0,2,106,76,6,6,64,0,0,0,184,6,8,170,267,0,11,256,85,53,5,27,30,19,2,9,34,21,1,12,64,40,3,21,21,13,2,6,25,8,10,18,7,114,20,0,20,94,111,20,0,20,91,3,0,0,3,40,2,11,1,29,1
FL-504,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC","1,633",310,70,"1,253",102,6,3,93,506,171,45,290,0,0,0,608,177,48,383,"1,025",133,22,870,"1,171",28,45,"1,098",90,0,3,87,246,15,20,211,0,0,0,336,15,23,298,835,13,22,800,462,282,25,155,12,6,0,6,260,156,25,79,272,162,25,85,190,120,0,70,165,4,91,95,70,198,14,0,14,184,198,14,0,14,184,0,0,0,0,135,12,55,7,80,5
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC","1,577",687,181,709,228,16,0,212,74,41,0,33,0,0,0,302,57,0,245,"1,275",630,181,464,556,7,28,521,191,0,0,191,18,6,0,12,0,0,0,209,6,0,203,347,1,28,318,"1,021",680,153,188,37,16,0,21,56,35,0,21,93,51,0,42,928,629,153,146,393,10,24,34,359,436,123,0,123,313,354,123,0,123,231,82,0,0,82,211,92,45,41,166,51
FL-506,Tallahassee/Leon County CoC,805,87,70,648,307,15,10,282,310,71,51,188,0,0,0,617,86,61,470,188,1,9,178,679,15,52,612,299,10,8,281,192,4,35,153,0,0,0,491,14,43,434,188,1,9,178,126,72,18,36,8,5,2,1,118,67,16,35,126,72,18,36,0,0,0,0,38,3,35,38,0,220,123,0,123,97,220,123,0,123,97,0,0,0,0,108,5,83,5,25,0
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC","2,254",537,107,"1,610",974,185,50,739,"1,014",352,50,612,0,0,0,"1,988",537,100,"1,351",266,0,7,259,"1,390",10,55,"1,325",680,0,31,649,444,10,17,417,0,0,0,"1,124",10,48,"1,066",266,0,7,259,864,527,52,285,294,185,19,90,570,342,33,195,864,527,52,285,0,0,0,0,245,97,148,245,0,125,67,0,67,58,125,67,0,67,58,0,0,0,0,299,52,255,11,44,41
FL-508,"Gainesville/Alachua, Putnam Counties CoC","1,256",107,97,"1,052",161,64,15,82,207,34,39,134,0,0,0,368,98,54,216,888,9,43,836,"1,134",28,90,"1,016",113,28,13,72,147,0,35,112,0,0,0,260,28,48,184,874,0,42,832,122,79,7,36,48,36,2,10,60,34,4,22,108,70,6,32,14,9,1,4,43,12,26,38,5,471,68,0,68,403,431,38,0,38,393,40,30,30,10,229,14,111,2,118,12
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC","2,591",747,135,"1,709",97,53,2,42,152,81,24,47,0,0,0,249,134,26,89,"2,342",613,109,"1,620","1,360",8,122,"1,230",28,8,0,20,34,0,22,12,0,0,0,62,8,22,32,"1,298",0,100,"1,198","1,231",739,13,479,69,45,2,22,118,81,2,35,187,126,4,57,"1,044",613,9,422,431,23,37,60,371,131,10,0,10,121,131,10,0,10,121,0,0,0,0,118,43,4,0,114,43
FL-510,"Jacksonville-Duval, Clay Counties CoC","2,049",422,120,"1,507","1,050",179,38,833,706,232,54,420,0,0,0,"1,756",411,92,"1,253",293,11,28,254,"1,375",45,75,"1,255",779,27,19,733,316,16,28,272,0,0,0,"1,095",43,47,"1,005",280,2,28,250,674,377,45,252,271,152,19,100,390,216,26,148,661,368,45,248,13,9,0,4,242,95,144,239,3,431,286,0,286,145,399,267,0,267,132,32,19,19,13,224,14,182,14,42,0
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",843,153,466,224,271,26,185,60,340,55,264,21,0,0,0,611,81,449,81,232,72,17,143,721,76,437,208,225,0,177,48,269,7,245,17,0,0,0,494,7,422,65,227,69,15,143,122,77,29,16,46,26,8,12,71,48,19,4,117,74,27,16,5,3,2,0,33,14,17,31,2,184,86,0,86,98,177,79,0,79,98,7,7,7,0,100,3,75,3,25,0
FL-512,St. Johns County CoC,"1,401",260,23,"1,118",97,18,4,75,100,56,6,38,0,0,0,197,74,10,113,"1,204",186,13,"1,005","1,062",37,11,"1,014",65,0,2,63,15,0,2,13,0,0,0,80,0,4,76,982,37,7,938,339,223,12,104,32,18,2,12,85,56,4,25,117,74,6,37,222,149,6,67,109,9,27,36,73,65,17,0,17,48,65,17,0,17,48,0,0,0,0,48,0,11,0,37,0
FL-513,"Palm Bay, Melbourne/Brevard County CoC","1,477",377,92,"1,008",95,15,8,72,522,219,40,263,0,0,0,617,234,48,335,860,143,44,673,"1,043",101,63,879,80,6,6,68,220,35,20,165,0,0,0,300,41,26,233,743,60,37,646,434,276,29,129,15,9,2,4,302,184,20,98,317,193,22,102,117,83,7,27,146,5,98,103,43,120,10,0,10,110,117,10,0,10,107,3,0,0,3,333,40,211,29,122,11
FL-514,Ocala/Marion County CoC,918,138,174,606,147,43,8,96,127,41,17,69,0,0,0,274,84,25,165,644,54,149,441,564,24,153,387,82,15,0,67,72,9,13,50,0,0,0,154,24,13,117,410,0,140,270,354,114,21,219,65,28,8,29,55,32,4,19,120,60,12,48,234,54,9,171,121,25,17,42,79,95,6,0,6,89,85,3,0,3,82,10,3,3,7,71,8,71,8,0,0
FL-515,"Panama City/Bay, Jackson Counties CoC",268,35,19,214,69,0,5,64,127,17,12,98,0,0,0,196,17,17,162,72,18,2,52,224,6,16,202,69,0,5,64,109,6,10,93,0,0,0,178,6,15,157,46,0,1,45,44,29,3,12,0,0,0,0,18,11,2,5,18,11,2,5,26,18,1,7,15,0,7,7,8,36,6,0,6,30,36,6,0,6,30,0,0,0,0,31,0,18,0,13,0
FL-517,"Hendry, Hardee, Highlands Counties CoC","1,346",442,76,828,121,30,14,77,113,52,8,53,0,0,0,234,82,22,130,"1,112",360,54,698,829,124,76,629,61,0,14,47,10,0,8,2,0,0,0,71,0,22,49,758,124,54,580,517,318,0,199,60,30,0,30,103,52,0,51,163,82,0,81,354,236,0,118,199,30,51,81,118,117,34,0,34,83,110,27,0,27,83,7,7,7,0,50,15,0,0,50,15
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC","1,070",167,58,845,44,25,7,12,39,5,0,34,0,0,0,83,30,7,46,987,137,51,799,652,25,36,591,8,8,0,0,33,0,0,33,0,0,0,41,8,0,33,611,17,36,558,418,142,22,254,36,17,7,12,6,5,0,1,42,22,7,13,376,120,15,241,202,17,1,18,184,621,0,0,0,621,350,0,0,0,350,271,0,0,271,209,6,25,2,184,4
FL-519,Pasco County CoC,"3,356",824,464,"2,068",93,38,3,52,63,0,8,55,0,0,0,156,38,11,107,"3,200",786,453,"1,961","1,693",533,191,969,40,3,2,35,63,0,8,55,0,0,0,103,3,10,90,"1,590",530,181,879,"1,663",291,273,"1,099",53,35,1,17,0,0,0,0,53,35,1,17,"1,610",256,272,"1,082",802,17,0,17,785,"1,204",17,0,17,"1,187",809,7,0,7,802,395,10,10,385,369,93,36,0,333,93
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",511,104,43,364,193,48,22,123,117,34,10,73,0,0,0,310,82,32,196,201,22,11,168,347,2,22,323,121,1,12,108,63,0,5,58,0,0,0,184,1,17,166,163,1,5,157,164,102,21,41,72,47,10,15,54,34,5,15,126,81,15,30,38,21,6,11,54,22,19,41,13,10,10,0,10,0,10,10,0,10,0,0,0,0,0,27,8,25,7,2,1
FL-600,Miami-Dade County CoC,"4,156",979,291,"2,886","1,965",548,141,"1,276","1,325",431,125,769,26,1,25,"3,316",979,267,"2,070",840,0,24,816,"2,845",128,154,"2,563","1,260",81,62,"1,117",719,47,67,605,26,1,25,"2,005",128,130,"1,747",840,0,24,816,"1,311",851,137,323,705,467,79,159,606,384,58,164,"1,311",851,137,323,0,0,0,0,385,205,180,385,0,732,267,20,287,445,688,223,20,243,445,44,44,44,0,317,14,175,9,142,5
