CoC Number,CoC Name,CoC Category,"Overall Homeless 2019","Overall Homeless - Under 18 2019","Overall Homeless - Age 18 to 24 2019","Overall Homeless - Over 24 2019","Overall Homeless - Female 2019","Overall Homeless - Male 2019","Overall Homeless - Transgender 2019","Overall Homeless - Gender Non-Conforming 2019","Overall Homeless - Non-Hispanic/Non-Latino, 2019","Overall Homeless - Hispanic/Latino, 2019","Overall Homeless - White, 2019","Overall Homeless - Black or African American, 2019","Overall Homeless - Asian, 2019","Overall Homeless - American Indian or Alaska Native, 2019","Overall Homeless - Native Hawaiian or Other Pacific Islander 2019","Overall Homeless - Multiple Races 2019"
FL-508, Gainesville/Alachua Putnam Counties CoC , 1,256 ,107,97, 1,052 ,161,64,15,82,207,34,39,134,0,0,0
FL-509, Fort Pierce/St. Lucie Indian River Martin Counties CoC , 2,591 ,747,135, 1,709 ,97,53,2,42,152,81,24,47,0,0,0
FL-510, Jacksonville-Duval Clay Counties CoC , 2,049 ,422,120, 1,507 , 1,050 ,179,38,833,706,232,54,420,0,0
FL-511, Pensacola/Escambia Santa Rosa Counties CoC ,843,153,466,224,271,26,185,60,340,55,264,21,0,0,0,611,81
FL-512,St. Johns County CoC, 1401 ,260,23, 1,118 ,97,18,4,75,100,56,6,38,0,0,0,197
FL-513, Palm Bay Melbourne/Brevard County CoC , 1,477 ,377,92, 1,008 ,95,15,8,72,522,219,40,263,0,0,0
FL-514,Ocala/Marion County CoC,918,138,174,606,147,43,8,96,127,41,17,69,0,0,0,274,84
FL-515, Panama City/Bay Jackson Counties CoC ,268,35,19,214,69,0,5,64,127,17,12,98,0,0,0,196,17
FL-517, Hendry Hardee Highlands Counties CoC , 1,346 ,442,76,828,121,30,14,77,113,52,8,53,0,0,0,234
FL-518, Columbia Hamilton Lafayette Suwannee Counties CoC , 1,070 ,167,58,845,44,25,7,12,39,5,0,34,0,0,0,83
FL-519,Pasco County CoC, 3356 ,824,464, 2,068 ,93,38,3,52,63,0,8,55,0,0,0,156
FL-520, Citrus Hernando Lake Sumter Counties CoC ,511,104,43,364,193,48,22,123,117,34,10,73,0,0,0,310,82
